system:index,date,id,lat,lng,value,.geo
000000000000000017f8,2016-05-05,6137,38.052005767822266,-122.690321,0.45837889795830855,
00000000000000001c74,2016-05-05,7285,33.324283599853516,-110.848388671875,0.27518668806874175,
000000000000000024ff,2016-05-05,9472,35.301213,-120.6957418,0.3171963924806697,
000000000000000004d5,2016-05-06,1238,34.048591,-116.575197,0.21105237793336643,
0000000000000000149d,2016-05-06,5278,34.3064703,-117.4649191,0.20377158222369024,
00000000000000001620,2016-05-06,5665,38.1697998046875,-122.73068237304688,0.2820785975118125,
00000000000000001691,2016-05-06,5778,33.6631258,-117.2905004,0.16987551495370473,
00000000000000001ba0,2016-05-06,7073,48.8551063,-123.6626052,0.23944065526945538,
00000000000000002237,2016-05-06,8760,38.6078558,-122.6933794,0.48698388990516883,
00000000000000002292,2016-05-06,8851,48.8532429,-123.6509125,0.4719024477589926,
0000000000000000048b,2016-05-07,1164,34.46199035644531,-112.403249,0.2511940169512283,
000000000000000005be,2016-05-07,1471,34.104032,-117.574839,0.22077913671118732,
000000000000000006cd,2016-05-07,1742,32.2408277,-111.0173607,0.17055663485783668,
0000000000000000084d,2016-05-07,2126,37.3512819,-122.0928818,0.38802508092113275,
0000000000000000092e,2016-05-07,2351,34.514063,-119.802465,0.2835033821355032,
00000000000000000b49,2016-05-07,2890,37.1611155,-122.3593431,0.2769347295232063,
000000000000000016ab,2016-05-07,5804,39.1452167,-120.9671903,0.24784761066874997,
00000000000000001889,2016-05-07,6282,33.9982141,-118.3562359,0.23566429758017846,
00000000000000001f44,2016-05-07,8005,37.4120415,-122.0407848,0.08991909971669383,
00000000000000002324,2016-05-07,8997,38.11507034301758,-122.64911651611328,0.45495632812476156,
00000000000000002517,2016-05-07,9496,33.6277497,-117.5497158,0.20208702938313777,
00000000000000002561,2016-05-07,9570,32.393388,-110.965792,0.17949215260684387,
00000000000000000317,2016-05-08,792,33.484496,-111.152349,0.36262167609480395,
00000000000000001516,2016-05-08,5399,32.723086,-114.619501,0.10838949593688373,
00000000000000001700,2016-05-08,5889,34.1014998,-111.2792301,0.35319876624893576,
00000000000000001a75,2016-05-08,6774,34.110388,-117.612188,0.28493801274252584,
00000000000000001a79,2016-05-08,6778,38.3271475,-122.3957634,0.4203475898766336,
00000000000000002066,2016-05-08,8295,38.7732072,-122.90645599365234,0.3692413660622267,
000000000000000022c7,2016-05-08,8904,47.2227233,-122.7256697,0.5288378985278261,
00000000000000002675,2016-05-08,9846,32.939864,-117.145113,0.25227268810562375,
00000000000000002689,2016-05-08,9866,37.3114034,-122.1644711,0.5209783138086015,
0000000000000000012a,2016-05-09,299,47.5222083,-122.8416377,0.38143903953367103,
000000000000000009d2,2016-05-09,2515,32.7254251,-116.8968755,0.2718807569736369,
00000000000000000abf,2016-05-09,2752,39.934625,-120.947178,0.21858190035323022,
00000000000000000c1b,2016-05-09,3100,37.134849548339844,-119.41264343261719,0.30199691680639007,
00000000000000000d2f,2016-05-09,3376,34.4461011,-119.7800695,0.27432594080525974,
00000000000000000f7d,2016-05-09,3966,47.365745544433594,-122.272845,0.4063713333824849,
0000000000000000195e,2016-05-09,6495,37.546157,-121.841416,0.3572549001170875,
00000000000000001a07,2016-05-09,6664,41.7913767,-124.1919637,0.4887213959617669,
00000000000000001a16,2016-05-09,6679,39.13862609863281,-120.9917369,0.40785006743836283,
00000000000000001a8f,2016-05-09,6800,34.4339437,-112.2802394,0.23236183797527488,
0000000000000000266f,2016-05-09,9840,38.2760197,-121.4197075,0.28013327574399166,
00000000000000000334,2016-05-10,821,47.350409,-122.559637,0.46716008895903044,
000000000000000006bd,2016-05-10,1726,47.279241,-122.479347,0.4598698616712374,
00000000000000001065,2016-05-10,4198,40.555388,-124.090207,0.49714491186929133,
000000000000000010e0,2016-05-10,4321,47.7292207,-122.1133565,0.3874021646507362,
0000000000000000152c,2016-05-10,5421,34.13730239868164,-117.713603,0.20692445633617607,
00000000000000001ecc,2016-05-10,7885,36.992298,-121.572263,0.24176043543130812,
000000000000000025d5,2016-05-10,9686,36.41305923461914,-119.09075927734375,0.30318075094442426,
00000000000000000041,2016-05-11,66,36.4792531,-121.7218345,0.29877050905501307,
0000000000000000013c,2016-05-11,317,36.0975152,-121.4261228,0.30004604449309363,
00000000000000000430,2016-05-11,1073,39.3478633,-121.0213852,0.42965048427215874,
00000000000000000525,2016-05-11,1318,38.477344,-122.774333,0.32468667109539956,
00000000000000001599,2016-05-11,5530,39.5601108,-121.5462542,0.26759499604899123,
00000000000000001702,2016-05-11,5891,39.3717024,-121.0002923,0.42351768971480014,
000000000000000021d5,2016-05-11,8662,47.0324033,-122.995798,0.44262901809984345,
00000000000000000217,2016-05-12,536,37.196698,-113.7775326,0.28276417473846555,
000000000000000003f4,2016-05-12,1013,45.39793395996094,-122.694456,0.20142331943207029,
0000000000000000081b,2016-05-12,2076,47.5055235,-122.4708223,0.46328016988142423,
00000000000000001e64,2016-05-12,7781,38.047828674316406,-122.62200164794922,0.28639619547572326,
00000000000000001f24,2016-05-12,7973,33.9253879,-111.4618564,0.20980785947140543,
00000000000000002124,2016-05-12,8485,36.8058487,-113.7573981,0.2055980820471091,
000000000000000012b8,2016-05-13,4793,37.0521653,-119.3921015,0.3020743783681088,
0000000000000000193c,2016-05-13,6461,34.500352,-118.606332,0.1691758840009635,
00000000000000002259,2016-05-13,8794,41.0130205,-123.4283495,0.3492914927001096,
00000000000000002524,2016-05-13,9509,47.6401139,-122.4116206,0.31962420037242234,
00000000000000000103,2016-05-14,260,39.3819031,-123.0903375,0.39856825642996085,
0000000000000000011d,2016-05-14,286,48.4556405,-123.2811928,0.39903370881758504,
000000000000000007a5,2016-05-14,1958,34.515296,-119.269467,0.2849420487699418,
0000000000000000087d,2016-05-14,2174,36.3849109,-121.5408468,0.31003210749327936,
00000000000000000915,2016-05-14,2326,47.4407731,-122.4777424,0.4451623746966123,
0000000000000000093c,2016-05-14,2365,38.3922287,-120.8019269,0.23361438498333578,
00000000000000000a78,2016-05-14,2681,32.5872484,-116.0780668,0.158225011789981,
00000000000000000d5c,2016-05-14,3421,37.8424313,-122.1947355,0.4400442427686413,
00000000000000000ebf,2016-05-14,3776,33.305276,-110.860225,0.36860339412201115,
00000000000000000f88,2016-05-14,3977,35.0025464,-111.7361069,0.2992164351076988,
00000000000000000fd4,2016-05-14,4053,36.8059861,-121.5086174,0.38653678577776523,
0000000000000000102b,2016-05-14,4140,39.3830475,-123.1014311,0.16736451704282476,
000000000000000012be,2016-05-14,4799,42.4942702,-123.4799795,0.3601355475882571,
000000000000000013cd,2016-05-14,5070,32.9471808,-112.1686855,0.24212004473762386,
0000000000000000158a,2016-05-14,5515,33.9195834,-111.4802124,0.2604674004532087,
000000000000000017c0,2016-05-14,6081,34.7739617,-111.9040561,0.16032728796614557,
000000000000000019cd,2016-05-14,6606,48.6305049,-123.4647565,0.4941501629288148,
00000000000000001aec,2016-05-14,6893,34.0020685,-111.45166778564453,0.30209491484047507,
00000000000000001c41,2016-05-14,7234,36.3842717,-121.5647507,0.3835999494338285,
00000000000000001d22,2016-05-14,7459,32.5052911,-110.8972701,0.2863847216523447,
00000000000000001d3b,2016-05-14,7484,49.04658508300781,-122.818731,0.4490489925605486,
00000000000000001e02,2016-05-14,7683,33.3426399230957,-110.9937973022461,0.3233321242073279,
000000000000000020db,2016-05-14,8412,38.985422,-121.118617,0.33199214525940085,
00000000000000002514,2016-05-14,9493,35.739088,-118.176317,0.2307577612487729,
0000000000000000251d,2016-05-14,9502,45.6354529,-122.450738,0.45657270047006593,
000000000000000026f4,2016-05-14,9973,37.4822825,-122.3141813,0.36955234110845087,
00000000000000000280,2016-05-15,641,44.066222,-123.080665,0.44429671998236014,
00000000000000000d88,2016-05-15,3465,45.5329582,-122.9180646,0.4232795963494178,
00000000000000001141,2016-05-15,4418,44.6253736,-123.2068634,0.23919687873575496,
0000000000000000165f,2016-05-15,5728,39.2380383,-121.0476735,0.2590530776084719,
0000000000000000186f,2016-05-15,6256,33.6755394,-112.2581217,0.16923452940771713,
000000000000000021ee,2016-05-15,8687,42.18476867675781,-122.541878,0.338792451550365,
000000000000000022df,2016-05-15,8928,33.6366139,-117.9554093,-0.030477475850179705,
0000000000000000254c,2016-05-15,9549,33.9355066,-112.6931526,0.21778639633548902,
000000000000000025b0,2016-05-15,9649,37.496416,-122.367724,0.29075399796506024,
000000000000000025f6,2016-05-15,9719,32.9548692,-116.5965056,0.38619895046430736,
00000000000000002703,2016-05-15,9988,37.8768012,-122.579205,0.4203523601102827,
000000000000000008fd,2016-05-16,2302,35.4046173,-120.6284451,0.33863513852118166,
00000000000000000c16,2016-05-16,3095,33.6547315,-111.7882088,0.18004351296604587,
00000000000000000e68,2016-05-16,3689,40.594445,-124.267322,0.5272378996190246,
000000000000000015f5,2016-05-16,5622,37.668119,-122.0330159,0.3641710479459538,
00000000000000001a10,2016-05-16,6673,41.048019,-123.6747265,0.4284103664652743,
00000000000000001e71,2016-05-16,7794,45.7943396,-122.7557373,0.35473310031779776,
00000000000000001eaf,2016-05-16,7856,37.833919525146484,-119.850548,0.28386687952403683,
000000000000000023af,2016-05-16,9136,38.7050282,-122.75642395019531,0.33882246898790125,
000000000000000003ad,2016-05-17,942,37.49797439575195,-119.821691,0.38751570505634503,
0000000000000000073a,2016-05-17,1851,35.35906982421875,-120.82659149169922,0.3650677515769674,
00000000000000000ae0,2016-05-17,2785,48.0558497,-123.2671595,0.48373939046887765,
00000000000000000def,2016-05-17,3568,38.2533332,-122.6917773,0.40456822141814813,
00000000000000000ff2,2016-05-17,4083,44.070066,-123.170677,0.3929744961451497,
00000000000000001997,2016-05-17,6552,31.402976,-110.253176,0.24666970566726218,
000000000000000022aa,2016-05-17,8875,33.7958039,-117.7469856,0.44521723228327525,
0000000000000000235a,2016-05-17,9051,37.8324292,-119.9757242,0.233139702261633,
0000000000000000268a,2016-05-17,9867,37.946446,-119.784483,0.2830595810466716,
00000000000000000298,2016-05-18,665,34.421367,-111.512033,0.19272328766231267,
00000000000000000ab1,2016-05-18,2738,44.610329,-122.8394222,0.5696962258184107,
00000000000000000b68,2016-05-18,2921,33.1330566,-117.1868759,0.311889512459756,
00000000000000000f8f,2016-05-18,3984,32.7488067,-116.9432831,0.20157029633108128,
0000000000000000163a,2016-05-18,5691,32.343349,-110.9341049,0.24445336853767075,
00000000000000001671,2016-05-18,5746,38.9430675,-121.1078954,0.23365652630832914,
000000000000000022ec,2016-05-18,8941,37.720558166503906,-122.095824,0.19196863339787434,
0000000000000000232e,2016-05-18,9007,38.139578,-122.5933376,0.4200058230622629,
0000000000000000246c,2016-05-18,9325,38.1833187,-120.0568724,0.32708456316433465,
00000000000000002690,2016-05-18,9873,33.878149,-117.812152,0.2685421996289399,
00000000000000000913,2016-05-19,2324,34.3472741,-117.9499434,0.22066614001559975,
000000000000000019f9,2016-05-19,6650,34.1240214,-117.0784859,0.3635529034974599,
000000000000000024b1,2016-05-19,9394,39.3299285,-120.9850788,0.12432631761319626,
000000000000000025de,2016-05-19,9695,48.4947675,-123.4902763,0.4829919110060117,
00000000000000000cd9,2016-05-20,3290,36.9233247,-121.6140068,0.2949770053009234,
00000000000000000f1d,2016-05-20,3870,49.2572675,-122.7430344,0.16790248857736761,
00000000000000001d96,2016-05-20,7575,37.9190306,-120.1182783,0.44383691505345324,
000000000000000008c3,2016-05-21,2244,37.396128,-122.138024,0.297373069486025,
0000000000000000189d,2016-05-21,6302,33.6300703,-117.9608274,0.09026665793490425,
00000000000000001a39,2016-05-21,6714,36.731702,-119.227323,0.33979381924524343,
00000000000000002159,2016-05-21,8538,37.3054084777832,-119.540676,0.35760069597255545,
00000000000000002696,2016-05-21,9879,34.1526382,-116.8615401,0.2595959587484045,
00000000000000000275,2016-05-22,630,36.390955,-121.595225,0.3060206805125267,
0000000000000000048a,2016-05-22,1163,38.3680299,-122.5354636,0.46709767226201127,
000000000000000004ad,2016-05-22,1198,33.54718780517578,-112.043613,0.20135434305749297,
0000000000000000070c,2016-05-22,1805,44.066158294677734,-121.310537,0.24256911315071691,
