"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",36.8337448,-119.9420035,2017-01-02,0.161,150,273
"Calypte anna",33.647467,-111.908802,2015-04-23,0.161,150,274
"Calypte anna",48.4584569,-123.5419137,2014-01-05,0.161,150,275
"Calypte anna",37.0382689,-119.2382455,2017-04-06,0.161,150,276
"Calypte anna",40.2039029,-122.2118819,2016-02-27,0.161,150,277
"Calypte anna",36.33584,-121.49935,2014-05-15,0.161,150,278
"Calypte anna",45.3285968,-122.5714803,2013-03-09,0.161,150,279
"Calypte anna",36.1307521,-118.813169,2017-04-22,0.161,150,280
"Calypte anna",38.4234953,-120.5824614,2015-08-24,0.161,150,281
"Calypte anna",37.4602852,-122.2934283,2017-03-19,0.241,150,282
"Calypte anna",37.6290081,-122.493664,2017-01-27,0.161,150,283
"Calypte anna",36.579518,-121.855326,2015-11-15,0.161,150,284
"Calypte anna",38.60353,-121.391171,2014-06-10,0.161,150,285
"Calypte anna",48.4556405,-123.2811928,2016-05-14,0.2,150,286
"Calypte anna",35.327104,-119.075245,2017-01-07,0.161,150,287
"Calypte anna",35.357898,-119.087002,2017-03-28,0.161,150,288
"Calypte anna",33.8160229,-117.92377,2013-02-22,0.161,150,289
"Calypte anna",38.5243398,-121.2057853,2017-01-29,0.2,150,290
"Calypte anna",34.461233,-119.779701,2017-08-05,0.161,150,291
"Calypte anna",44.890811,-123.070046,2016-12-10,0.161,150,292
"Calypte anna",37.29399,-121.91037,2017-01-01,0.161,150,293
"Calypte anna",33.831948,-118.1726038,2017-01-09,0.2,150,294
"Calypte anna",34.2371305,-116.9364032,2016-08-13,0.2,150,295
"Calypte anna",34.2898428,-119.2159724,2015-01-03,0.161,150,296
"Calypte anna",34.052811,-112.1514399,2017-01-29,0.19,150,297
"Calypte anna",35.319278,-120.7460976,2017-05-07,0.161,150,298
"Calypte anna",47.5222083,-122.8416377,2016-05-09,0.241,150,299
"Calypte anna",34.6351489,-120.0607283,2015-05-21,0.161,150,300
"Calypte anna",38.0078757,-121.7224431,2016-01-03,0.161,150,301
"Calypte anna",31.8589754,-116.6229985,2017-12-22,0.241,150,302
"Calypte anna",34.524254,-119.923691,2017-06-01,0.225,150,303
"Calypte anna",48.6691305,-123.4151047,2016-04-25,0.2,150,304
"Calypte anna",37.342491,-121.645317,2014-05-11,0.161,150,305
"Calypte anna",37.8245914,-122.2612774,2015-12-18,0.2,150,306
"Calypte anna",37.3737015,-122.0634514,2017-08-14,0.161,150,307
"Calypte anna",37.944228,-122.521108,2017-10-21,0.161,150,308
"Calypte anna",34.104483,-118.265376,2016-10-31,0.161,150,309
"Calypte anna",36.572538,-121.808818,2014-09-03,0.161,150,310
"Calypte anna",49.381619,-123.19096,2017-06-21,0.2,150,311
"Calypte anna",33.5143468,-117.758678,2016-01-24,0.161,150,312
"Calypte anna",37.0510446,-119.4877768,2014-04-26,0.193,150,313
"Calypte anna",38.4058502,-122.8253031,2016-11-03,0.161,150,314
"Calypte anna",37.758077,-122.455699,2016-06-18,0.161,150,315
"Calypte anna",33.28603,-116.9909277,2013-08-25,0.161,150,316
"Calypte anna",36.0975152,-121.4261228,2016-05-11,0.161,150,317
