scientificName,decimalLongitude,decimalLatitude
Baeolophus bicolor,-82.8198354,41.5401755
Baeolophus bicolor,-77.16346,40.3519243
Baeolophus bicolor,-86.2537506,38.3446492
Baeolophus bicolor,-79.0726703,38.5260603
Baeolophus bicolor,-84.5778179,34.3274302
Baeolophus bicolor,-77.4006075,38.982681
Baeolophus bicolor,-84.8960524,36.0434777
Baeolophus bicolor,-80.2786446,32.700211
Baeolophus bicolor,-84.132262,31.520425
Baeolophus bicolor,-73.9155865,42.8696739
Baeolophus bicolor,-77.145642,40.1565494
Baeolophus bicolor,-83.4917915,44.2972601
Baeolophus bicolor,-76.5831855,39.9779279
Baeolophus bicolor,-71.2246281,42.60496
Baeolophus bicolor,-78.2711935,35.8517004
Baeolophus bicolor,-78.0167243,34.533377
Baeolophus bicolor,-70.215058,41.7148531
Baeolophus bicolor,-81.7580813,30.1455725
Baeolophus bicolor,-77.6018295,39.909977
Baeolophus bicolor,-75.196919,40.223435
